index,student_id,full_name,date_of_birth,grade_level,emergency_contact,edad
1638,s01920,heather baker,2011-04-22,1,476-785-8343,14
1639,s01921,connie arnold,2017-02-26,4,771-380-4352,8
1640,s01922,leslie hampton,2007-08-20,2,560-768-0748,18
1641,s01923,michael clark,2007-09-08,4,(835)668-2443x6362,18
1642,s01924,christine hernandez,2019-01-27,1,582.293.8070x215,6
1643,s01926,anna davies,2010-03-19,5,692.930.3186x35501,15
1644,s01927,casey wolf,2006-11-17,2,(805)389-5786x16161,19
1645,s01929,david smith,2008-01-02,4,(679)616-6268x0719,17
1646,s01930,kenneth andrews,2011-10-23,2,892.521.7589,14
1647,s01931,calvin graham,2007-12-06,2,201.874.3148,18
1648,s01932,timothy smith,2008-12-04,5,001-336-808-5355x32885,17
1649,s01933,monica chavez,2008-04-29,4,6969123853,17
1650,s01934,clarence miller,2011-01-10,2,8915650529,14
1651,s01935,alyssa david,2006-12-23,4,+1-971-548-5040,19
1652,s01936,ashley walsh,2006-09-28,2,545.643.8793x79525,19
1653,s01937,stephanie villa,2014-01-14,1,(640)417-7726x844,11
1654,s01938,jay anderson,2011-08-19,3,+1-419-974-5890x145,14
1655,s01939,laurie henry,2014-11-18,3,(863)858-3879x32834,11
1656,s01940,ann bailey,2013-04-28,5,+1-805-614-3905x64461,12
1657,s01941,rebecca carrillo,2006-06-15,3,+1-733-872-5708,19
1658,s01942,andrew kim,2014-02-15,4,847.711.7744x372,11
1659,s01943,lisa mason,2009-02-10,2,001-766-391-8326,16
1660,s01944,justin brown,2014-03-27,3,760.311.9417x194,11
1661,s01945,gloria hull,2009-06-30,5,(731)311-4204x770,16
1662,s01946,christina caldwell,2018-07-07,5,+1-539-922-8463x525,7
1663,s01947,kathleen aguilar,2009-01-27,5,+1-674-510-9055x452,16
1664,s01948,sherry huff,2014-02-26,1,(926)523-2879,11
1665,s01949,bruce haley,2016-09-13,4,001-446-283-3320x1786,9
1666,s01950,timothy malone,2014-02-03,4,256.718.2951x037,11
1667,s01951,mark moody,2011-07-27,5,(315)846-2156,14
1668,s01952,kristin green,2017-08-25,5,+1-341-939-5189x1739,8
1669,s01953,stacy jones,2014-03-19,5,001-280-748-5552,11
1670,s01954,adam larson,2007-08-27,5,493.672.3330x0605,18
1671,s01956,kathy patterson,2011-09-02,2,001-596-778-3948x7626,14
1672,s01957,kimberly knight,2011-03-01,2,(824)556-2950,14
1673,s01958,douglas wilson,2012-10-16,2,8703152388,13
1674,s01959,mark williams,2010-03-27,2,+1-773-432-5448x5941,15
1675,s01960,ashley durham,2009-09-14,5,950-960-8074x768,16
1676,s01961,marie cole,2016-11-27,5,(647)298-2463x719,9
1677,s01962,janice brown,2011-03-12,1,2812214821,14
1678,s01963,victoria wright,2010-01-12,3,+1-258-445-8955,15
1679,s01964,jennifer pham,2007-08-11,3,273.820.8303x114,18
1680,s01965,james smith,2011-02-24,4,(904)642-4815x8702,14
1681,s01966,jamie davis,2018-10-12,5,690.872.2815x45378,7
1682,s01969,michael johnson,2007-04-05,4,(778)583-6250x6588,18
1683,s01970,miranda parsons,2009-01-23,4,487-907-8924x678,16
1684,s01971,tracy gray,2011-04-24,4,001-212-981-7608x116,14
1685,s01972,tracy holloway,2018-09-09,2,840.574.1425x325,7
1686,s01974,amanda williams,2012-03-25,3,453.978.2349,13
1687,s01975,kathryn baker,2010-07-12,3,614-432-3754,15
1688,s01976,christina lane,2011-05-06,4,001-506-317-7318x9593,14
1689,s01977,haley koch,2010-02-15,1,+1-970-704-4085x91751,15
1690,s01978,crystal newton,2012-07-29,3,683-713-8380x970,13
1691,s01979,benjamin vasquez,2018-12-18,2,990.216.1612,7
1692,s01980,dawn freeman,2015-01-26,2,+1-681-800-8554,10
1693,s01982,matthew henson,2017-02-24,5,838-707-6329x2964,8
1694,s01983,richard chambers,2008-06-17,3,001-567-959-2864x2534,17
1695,s01984,albert townsend,2009-03-21,4,5574492480,16
1696,s01985,robert hayes,2016-05-31,4,8584955685,9
1697,s01986,rhonda wallace,2017-06-30,3,630.900.4106x4830,8
1698,s01987,virginia miller,2014-08-23,2,001-975-521-2484,11
1699,s01988,matthew davis,2011-03-29,2,932.763.4030,14
1700,s01989,allison edwards,2016-08-02,3,(965)649-9928,9
1701,s01990,ashley bradley,2018-01-03,4,001-830-437-4696x290,7
1702,s01991,dawn fitzgerald,2014-03-24,1,001-344-874-8951x02648,11
1703,s01992,joseph knight,2013-09-06,5,864.488.0639x2377,12
1704,s01994,robert vazquez,2006-12-04,1,311-303-0138x48011,19
1705,s01995,morgan morgan,2015-01-16,2,457-930-3499x035,10
1706,s01998,jennifer soto,2010-05-18,1,+1-392-254-0386x298,15
1707,s01999,charles summers,2009-07-05,2,(568)958-0554,16
1708,s02000,zachary meza,2009-05-10,3,808-560-8267x985,16
1709,s02001,brian moore,2015-08-09,3,398.661.8313x0696,10
1710,s02002,sean mayer,2008-12-20,2,9464750899,17
1711,s02003,ryan mendez,2010-11-29,5,001-851-991-6452x442,15
1712,s02004,michael bernard,2009-02-02,2,(558)206-2119x607,16
1713,s02005,jody walton,2012-12-01,5,+1-264-311-5606x9128,13
1714,s02006,cynthia rogers,2012-08-28,2,(434)529-7117x62592,13
1715,s02008,michael warren,2011-10-31,4,001-477-382-1082x359,14
1716,s02009,larry park,2013-04-12,4,001-469-516-2072x92767,12
1717,s02010,lisa nelson,2009-11-03,3,(635)506-2150,16
1718,s02011,logan johnson,2016-07-26,5,+1-455-871-9917x9434,9
1719,s02012,kim sanchez,2014-06-18,1,242.411.9782x499,11
1720,s02013,joseph stanley,2016-09-13,4,+1-666-818-1474,9
1721,s02014,chase murray,2008-02-26,1,+1-797-525-1595,17
1722,s02015,natalie lee,2012-08-11,3,6977984873,13
1723,s02016,paul mayer,2016-09-07,2,268-320-8414x50746,9
1724,s02017,juan schmidt,2018-03-31,5,837.632.7102,7
1725,s02018,allison cole,2018-03-31,1,424.973.5248,7
1726,s02019,savannah keller,2014-11-03,1,939.998.2344x2786,11
1727,s02020,brian stevens,2017-06-22,4,+1-697-220-9685x6800,8
1728,s02021,julia perkins,2009-02-23,5,+1-383-360-4973x622,16
1729,s02022,scott griffin,2018-07-31,5,(697)669-4016,7
1730,s02023,kenneth fowler,2009-11-08,2,7577518085,16
1731,s02025,dillon boyer,2014-03-16,2,759.483.4016,11
1732,s02027,kerry stanton,2017-01-05,1,510.667.6067,8
1733,s02028,timothy gomez,2007-04-17,2,6325135528,18
1734,s02029,benjamin potter,2008-07-02,2,878.934.5815,17
1735,s02030,terrence castro,2007-07-17,1,+1-497-716-9086x176,18
1736,s02034,kyle harris,2013-10-02,3,001-332-580-8757x559,12
1737,s02035,leslie hess,2013-02-15,2,+1-280-703-5368,12
1738,s02036,shane ramsey,2019-01-03,1,001-541-573-2271x858,6
1739,s02037,justin webb,2014-01-04,2,+1-362-674-7177,11
1740,s02038,mike sandoval,2014-07-18,3,+1-302-854-3995x9388,11
1741,s02040,james gardner,2009-08-23,5,001-987-355-8320x953,16
1742,s02042,john lopez,2009-01-12,1,327.984.0119x4203,16
1743,s02043,douglas farrell,2010-01-13,2,+1-527-962-2233,15
1744,s02045,joseph garcia,2008-01-18,2,(792)518-4636,17
1745,s02048,gabrielle lynch,2015-08-10,3,+1-490-311-6719x144,10
1746,s02049,brandon berry,2016-02-24,4,(584)449-1080x1200,9
1747,s02050,william carter,2016-08-15,3,431.528.3903x107,9
1748,s02051,ann sanchez,2012-01-10,1,001-501-705-2871x90252,13
1749,s02052,mathew estrada,2015-06-26,1,+1-544-814-9223x42753,10
1750,s02053,ryan gonzalez,2007-03-08,2,481.679.0531x14417,18
1751,s02054,brady woods,2013-06-30,3,6685264693,12
1752,s02055,aimee martinez,2012-10-14,4,+1-792-934-9992x82949,13
1753,s02056,lori bowers,2007-12-12,4,943.559.2388x9806,18
1754,s02057,timothy douglas,2007-12-23,5,696-741-5584x0912,18
1755,s02058,cheryl bradley,2011-08-29,2,945.642.0068x201,14
1756,s02059,william walker,2017-03-09,2,+1-716-523-9079x79314,8
1757,s02061,nicole sanchez,2006-09-18,3,+1-248-930-6213x97612,19
1758,s02062,susan pratt phd,2015-04-27,5,+1-245-791-3258x73062,10
1759,s02063,kimberly jensen,2008-09-02,4,001-592-822-6720,17
1760,s02064,jasmine sellers,2013-05-08,1,001-503-370-6739x717,12
1761,s02065,michael ford,2018-10-22,1,599.833.6689,7
1762,s02066,lauren reeves,2014-04-13,3,(402)406-0959,11
1763,s02067,erik schultz,2016-02-16,2,001-954-242-1510x1309,9
1764,s02068,john patel,2009-01-24,3,(202)534-3806,16
1765,s02069,meagan williams,2008-08-07,5,6684666519,17
1766,s02070,william russell,2015-09-20,3,001-919-575-2002x74352,10
1767,s02073,clinton douglas,2012-06-19,2,(369)846-4565,13
1768,s02074,laura james,2017-01-13,3,210-506-0701x7442,8
1769,s02075,brendan hamilton,2006-06-06,1,782-682-0512x008,19
1770,s02076,mary smith,2013-11-19,3,001-871-458-6710x069,12
1771,s02077,laura fernandez,2009-04-12,2,2767244468,16
1772,s02078,robert rodriguez,2012-01-18,5,(921)521-5272,13
1773,s02079,norman adams,2011-09-14,5,+1-739-353-8664x4832,14
1774,s02080,richard kennedy,2014-07-08,4,001-730-488-4972x3729,11
1775,s02081,dennis dawson,2007-07-25,1,203.725.7919x37575,18
1776,s02082,leah johnson,2016-09-03,2,+1-705-593-9948,9
1777,s02083,samuel costa,2017-07-12,2,7554899096,8
1778,s02084,jodi costa,2017-07-30,3,+1-203-777-7905,8
1779,s02085,jessica padilla,2008-10-24,1,768-649-3826x7569,17
1780,s02086,kimberly scott,2006-06-01,4,9393305972,19
1781,s02087,robert wood,2014-07-09,4,341-200-8838,11
1782,s02089,megan lopez,2009-02-23,4,+1-701-652-3387x9660,16
1783,s02091,lauren moore,2013-07-19,1,001-716-938-1478,12
1784,s02092,casey sanchez,2010-05-15,3,001-426-434-0661x143,15
1785,s02093,jeanette johnson,2010-03-28,1,+1-266-623-7456x605,15
1786,s02094,jennifer conley,2013-05-26,4,(859)904-4100x581,12
1787,s02095,derrick williams,2019-02-15,1,(832)597-8603,6
1788,s02096,mary shepherd,2018-06-16,4,822-303-0316x172,7
1789,s02097,sarah acosta,2008-07-25,3,+1-724-701-8655,17
1790,s02098,candace donovan,2012-08-22,2,394.408.1182x099,13
1791,s02100,stacey leon,2009-10-19,2,(562)548-6213x911,16
1792,s02101,shawn olson,2007-01-27,5,963.952.4600,18
1793,s02102,kelly hernandez,2012-06-26,3,(440)945-0751x4344,13
1794,s02103,jacob brooks,2008-12-07,5,001-449-452-0287x127,17
1795,s02104,joshua ewing,2012-06-01,1,+1-368-901-0271x218,13
1796,s02105,jacob garcia,2008-08-10,1,+1-234-303-0951x28460,17
1797,s02107,karen reyes,2006-03-25,4,+1-664-545-3936x25252,19
1798,s02108,gregory huerta,2012-08-06,3,285.559.1041x80960,13
1799,s02110,kristie jimenez,2013-01-08,3,881-560-2450x7383,12
1800,s02111,brian williams,2011-10-26,3,(667)658-2220x4620,14
1801,s02112,marissa johnson,2011-01-21,5,635.589.0756,14
1802,s02113,jacob hernandez,2017-06-21,3,428-555-7368,8
1803,s02114,tommy miller,2013-11-19,3,9057144817,12
1804,s02115,steven arellano,2017-01-23,2,(687)939-8328,8
1805,s02116,cole day,2012-12-15,1,(606)789-1671x6482,13
1806,s02118,jason scott,2015-10-08,3,(688)675-4670x14048,10
1807,s02119,dr. anne bowen,2008-04-09,2,683.388.0979,17
1808,s02120,donald anderson,2008-01-21,2,617.902.1769x15131,17
1809,s02122,steven anderson,2019-01-19,5,001-708-684-7122x366,6
1810,s02123,charles johnson,2006-08-21,5,001-498-210-4925x40585,19
1811,s02124,john martinez,2016-02-13,1,482.782.6540x7737,9
1812,s02125,robin coleman,2017-04-05,4,+1-841-322-3113x4760,8
1813,s02126,jordan davis,2007-05-11,3,597.595.8862x172,18
1814,s02128,jerry buchanan,2017-06-05,4,(935)616-7253x25316,8
1815,s02129,charlene suarez,2009-10-26,2,(227)499-1838,16
1816,s02130,joseph allison,2011-01-24,2,250-928-2486x477,14
1817,s02132,kimberly turner,2009-12-06,2,(697)615-3454x0023,16
1818,s02133,elizabeth bowman md,2011-12-15,3,732.698.5450,14
1819,s02134,vickie mclaughlin dds,2012-04-12,4,+1-405-993-1835x586,13
1820,s02135,kevin powers,2017-12-06,5,+1-467-392-4405x392,8
1821,s02136,jane barnes,2007-11-17,1,(985)789-7712,18
1822,s02137,timothy ramos,2006-08-02,4,814.359.7504x208,19
1823,s02138,marvin stewart,2018-01-15,1,(697)497-5272,7
1824,s02139,alicia underwood,2010-09-28,5,(759)413-7353,15
1825,s02140,laurie taylor,2015-09-05,2,(657)376-7243x547,10
1826,s02141,joshua black,2012-01-13,2,338-924-0871x9472,13
1827,s02143,anita murphy,2013-04-20,1,+1-420-526-7959x2283,12
1828,s02144,dr. daniel peck,2011-10-19,4,706.861.3314x97549,14
1829,s02145,aaron jackson,2008-04-03,2,709.500.8340,17
1830,s02146,curtis marsh,2009-03-07,5,001-923-537-9350x7856,16
1831,s02147,ricky davis,2017-05-30,1,900-246-9927x62001,8
1832,s02148,julia huber,2011-06-19,4,240.419.4487,14
1833,s02149,james davila,2010-12-11,5,313-400-6469,15
1834,s02150,logan foster,2013-05-26,4,379.521.4526x5381,12
1835,s02151,amy williamson,2013-11-20,2,211.963.2718,12
1836,s02153,erika haley,2015-10-02,1,+1-407-352-6062x90013,10
1837,s02154,joseph dawson,2017-09-20,4,(721)690-4548,8
1838,s02155,katrina hopkins,2013-03-10,2,001-838-556-7784x622,12
1839,s02156,robert jones,2008-07-14,4,(275)970-8568,17
1840,s02157,kyle lee,2014-05-26,1,001-229-345-4181x42152,11
1841,s02158,justin wood,2007-10-20,4,4869029386,18
1842,s02159,holly stewart,2015-04-22,1,(427)334-1619x5568,10
1843,s02160,jennifer gould,2012-09-24,3,(600)867-0953x0268,13
1844,s02161,catherine perez,2015-10-04,2,+1-896-758-5520x29219,10
1845,s02162,nathan moreno,2007-03-01,4,(375)251-9906x91195,18
1846,s02163,kristen salinas,2013-04-02,4,416.898.7192,12
1847,s02164,dennis becker,2011-08-05,5,(700)226-9799x1623,14
1848,s02165,gregory pierce,2015-01-15,1,766-315-2715,10
1849,s02166,tyler hayes,2012-09-17,1,221.613.1831x13618,13
1850,s02167,michelle miller phd,2010-05-25,5,(550)297-2037x40405,15
1851,s02168,anthony knox,2009-10-16,3,001-406-302-1798x807,16
1852,s02169,benjamin smith,2008-05-28,2,001-247-727-0884,17
1853,s02170,joseph roberts,2018-04-12,3,838.691.1002,7
1854,s02171,david brown,2010-12-09,3,+1-535-623-3041x900,15
1855,s02172,raymond thomas,2018-12-29,2,734-565-9640,7
1856,s02173,karen casey,2010-01-23,4,764.349.2253x41480,15
1857,s02174,donna king,2015-09-03,5,923-916-0264,10
1858,s02175,brandon hernandez,2011-03-25,4,326.635.8118x3186,14
1859,s02176,megan walters,2007-07-08,4,964.532.8354x570,18
1860,s02178,matthew hernandez,2015-07-24,1,891.703.8222x5934,10
1861,s02179,victor rodriguez,2008-08-31,4,915.429.4915x471,17
1862,s02180,michelle brock,2017-10-14,3,+1-299-279-5427,8
1863,s02181,amanda mendoza,2012-11-21,4,238-471-3130,13
1864,s02182,robert carson jr.,2011-09-23,2,631-219-7561,14
1865,s02183,jacqueline ramirez,2019-02-28,3,001-748-209-6766x850,6
1866,s02184,nicole house,2010-05-23,5,(765)889-2225x0947,15
1867,s02186,emily lyons,2007-03-20,2,001-743-344-7235x9343,18
1868,s02187,angela morgan,2008-12-31,5,860.800.1412,17
1869,s02188,kimberly fischer,2010-09-08,4,759.468.1184x40767,15
1870,s02190,javier wang,2014-12-13,5,+1-578-482-9724x4752,11
1871,s02191,mark sanchez,2008-03-03,5,934-661-0976x145,17
1872,s02192,dylan guzman,2009-10-03,1,001-538-547-3575x7814,16
1873,s02193,amber thomas,2008-06-23,2,673.529.6079x294,17
1874,s02194,wendy henson,2013-12-06,3,2568756817,12
1875,s02195,laura chapman,2014-11-19,2,601-706-1580,11
1876,s02196,ashley garrison,2010-10-27,3,+1-903-201-3791x608,15
1877,s02197,laura mitchell,2014-04-11,1,674.535.2038,11
1878,s02198,anthony smith,2015-06-30,3,(784)435-9664x6535,10
1879,s02199,christine ross,2010-01-02,4,001-685-882-1164,15
1880,s02200,joseph valencia,2018-03-03,3,(337)501-0102x984,7
1881,s02201,ashley wiggins,2016-10-28,4,7853827070,9
1882,s02202,laura cole,2015-01-19,5,+1-278-679-1797x9123,10
1883,s02203,jennifer allen,2013-10-16,4,910-441-1141x13081,12
1884,s02206,kathryn hopkins,2016-08-24,3,(609)564-0262x8756,9
1885,s02208,darlene kim,2018-09-18,2,(201)670-0292,7
1886,s02209,cynthia martinez,2010-04-02,4,3125889008,15
1887,s02210,nicole morales,2006-11-22,2,(738)822-8187,19
1888,s02212,christopher guerrero,2017-07-06,3,(282)396-9105x9711,8
1889,s02214,misty sanchez,2016-10-12,4,001-479-616-9396,9
1890,s02215,nathan montgomery,2013-04-18,3,929-882-1319x9744,12
1891,s02216,alexander hayes,2017-10-20,1,+1-972-785-4077x9604,8
1892,s02217,tracey martin,2013-07-06,5,434-278-3725,12
1893,s02218,thomas hernandez,2019-01-31,4,659.261.3655x241,6
1894,s02220,brian cook,2010-01-01,2,001-741-666-5575x04637,15
1895,s02221,james fuller,2012-03-29,3,001-356-531-1175x7269,13
1896,s02222,kevin price,2015-07-21,1,208.241.7430,10
1897,s02223,samantha shaw,2007-12-13,5,952-755-3665x010,18
1898,s02224,kyle york,2012-09-13,5,603.458.4948x541,13
1899,s02225,andrew fuller,2009-09-22,3,330-611-7261x69029,16
1900,s02227,jeffrey dalton,2012-04-29,2,775-261-2685,13
1901,s02228,kyle scott,2009-07-23,3,+1-847-730-5990x981,16
1902,s02229,jackson collier,2006-08-07,3,(856)265-6971,19
1903,s02230,olivia thomas,2009-01-28,3,+1-508-922-3594x59324,16
1904,s02231,mrs. jamie farrell,2011-02-23,4,001-222-601-8168x187,14
1905,s02232,debra washington,2007-09-20,3,(460)785-6267,18
1906,s02233,alyssa wong,2016-05-20,3,(215)604-0295,9
1907,s02234,megan richardson,2009-09-05,2,(387)216-2490,16
1908,s02235,gary kelly,2013-04-13,4,760-567-9008x645,12
1909,s02236,ms. cassandra fitzpatrick,2013-10-28,1,(393)600-6218x011,12
1910,s02238,erica levy,2015-08-30,3,466-619-4223x863,10
1911,s02239,david hall,2017-04-17,2,800.422.6244,8
1912,s02240,tammy adams,2010-02-05,5,590-637-5629,15
1913,s02242,bryan richards,2009-05-03,2,797-582-9257,16
1914,s02243,jennifer oconnor,2015-05-15,3,883.511.3052x602,10
1915,s02244,mr. bob elliott,2009-09-02,2,362.666.9297x2949,16
1916,s02245,jennifer charles,2012-01-26,3,(583)923-4518x3862,13
1917,s02246,julie parker,2014-08-26,2,001-834-659-6356,11
1918,s02247,gerald baker,2006-11-24,2,363.912.3573,19
1919,s02248,denise warren,2014-09-16,4,+1-685-747-5485x0261,11
1920,s02249,thomas washington,2017-08-31,5,(849)807-5342x5887,8
1921,s02250,amy berry,2011-12-21,1,(829)971-3717,14
1922,s02252,wendy kramer,2011-06-18,1,001-303-907-1674x229,14
1923,s02253,emma brown,2007-10-26,1,(526)709-8714x8763,18
1924,s02254,patricia gonzalez,2014-06-28,2,858-237-4010x962,11
1925,s02255,kyle moreno,2012-11-11,4,+1-809-598-1785x332,13
1926,s02256,diane brown,2016-03-25,4,(827)878-8707,9
1927,s02257,eric taylor,2011-07-15,5,001-330-612-3347x258,14
1928,s02258,hannah garza,2012-02-23,5,(427)229-2303x14108,13
1929,s02259,anna skinner,2012-02-09,5,495.925.6476x99477,13
1930,s02260,carolyn delacruz,2017-11-29,5,397.914.7015x74199,8
1931,s02261,sabrina rocha,2010-06-09,5,771.850.9110x7194,15
1932,s02262,raymond williams,2016-06-08,3,637.904.3027,9
1933,s02263,danielle brown,2006-03-30,5,(236)895-6358,19
1934,s02264,james barnes,2006-10-20,2,+1-624-525-6157,19
1935,s02265,nicole hubbard,2012-01-24,3,6015139916,13
1936,s02266,tracy jones,2014-06-08,5,001-862-732-5918x69418,11
1937,s02267,hailey wilson,2018-09-23,4,427-798-6029x592,7
1938,s02268,angela hartman,2010-01-05,3,766-674-2667,15
1939,s02269,michael chavez,2013-05-07,5,337-235-5029,12
1940,s02270,jennifer jones,2009-12-20,1,001-840-727-8166x9914,16
1941,s02272,taylor long,2012-05-22,5,242.630.8909x58023,13
1942,s02273,mandy petersen,2013-02-11,2,+1-896-508-6226x45540,12
1943,s02274,laura hanna,2016-06-23,1,+1-243-716-0891x11855,9
1944,s02275,ryan reynolds,2019-02-22,2,+1-259-977-5715x19675,6
1945,s02277,kristen smith,2008-07-04,3,935-573-3305x17797,17
1946,s02278,joy bentley,2015-07-07,4,001-813-320-2845x03003,10
1947,s02280,barbara campbell,2007-03-03,3,(564)654-7546,18
1948,s02281,rodney mcgee,2013-08-18,5,695.906.3887x689,12
1949,s02282,teresa harmon,2015-07-14,5,001-628-920-8110x5985,10
1950,s02283,scott smith phd,2014-08-22,5,898-919-0186,11
1951,s02284,luis brown iii,2008-12-12,5,207.959.5148x912,17
1952,s02285,judy marquez,2010-01-09,2,(399)368-8730,15
1953,s02287,jeffrey greene,2017-04-27,2,300-909-9215x8711,8
1954,s02288,sarah sampson,2008-07-28,5,894-502-8119x13269,17
1955,s02290,samantha manning,2010-02-16,5,+1-691-734-0708x789,15
1956,s02291,vickie woodward,2018-09-06,1,906.428.1563,7
1957,s02292,jason chandler,2006-09-28,4,+1-760-858-0493x0290,19
1958,s02293,daniel parks,2014-11-05,4,001-348-785-3774x7881,11
1959,s02294,eric shepherd,2008-09-10,2,001-703-965-7484x047,17
1960,s02295,rachel todd,2008-10-02,3,+1-234-693-8549,17
1961,s02297,jerry richardson,2010-02-24,5,001-382-774-8285x4794,15
1962,s02298,lauren green,2007-03-05,5,924.521.5885,18
1963,s02299,gina ortiz,2007-09-17,1,001-857-230-1797,18
1964,s02301,mckenzie norton,2007-09-07,3,804.716.7594,18
1965,s02303,nathan taylor,2008-08-27,4,001-744-507-4952x9115,17
1966,s02304,john myers,2006-06-10,3,+1-835-417-8140,19
1967,s02305,heather miller,2007-01-21,4,468.432.1544x4543,18
1968,s02306,jennifer martinez,2007-08-27,4,429-928-4349,18
1969,s02308,bethany andrews,2011-07-28,2,(839)363-5458x982,14
1970,s02311,alan thomas,2017-05-20,5,001-346-331-0917,8
1971,s02312,andrew williams,2011-01-18,3,916.611.7364x96395,14
1972,s02314,nicholas mccullough,2007-06-23,1,001-854-624-6595,18
1973,s02315,linda mcguire,2011-10-26,2,(652)676-1668x6473,14
1974,s02317,katherine ford,2011-10-13,3,+1-980-924-7215x971,14
1975,s02319,ralph jones,2010-05-11,5,(415)933-4557,15
1976,s02320,frances parker,2013-08-04,4,+1-291-659-3482,12
1977,s02321,james diaz,2018-11-16,3,894-628-6055x452,7
1978,s02322,laurie brown,2018-01-16,5,490-345-9220,7
1979,s02323,laurie dunn,2017-06-15,4,4698293459,8
1980,s02326,daniel davis,2012-04-17,3,+1-708-363-8394x741,13
1981,s02327,tiffany thomas,2011-05-21,5,598-794-8698x8174,14
1982,s02328,jennifer singh,2006-03-11,5,995.242.6479x954,19
1983,s02329,emily gibson,2017-11-05,2,531-463-5222,8
1984,s02330,luke mccormick,2012-07-28,5,(627)547-0371x538,13
1985,s02331,john clark,2014-12-27,4,912-670-5511x13347,11
1986,s02333,patrick manning,2010-12-02,3,+1-438-501-0738x0053,15
1987,s02334,crystal duncan,2017-01-13,4,+1-591-245-4094x67294,8
1988,s02335,angela hunt,2006-05-08,4,696-254-4049,19
1989,s02336,brianna brown,2016-10-13,5,+1-785-880-0641,9
1990,s02337,tyler ward,2008-02-04,3,910.219.1620,17
1991,s02339,todd williams,2017-06-12,5,+1-545-800-6738x08298,8
1992,s02340,nicole lawson,2015-02-18,3,(333)905-4518,10
1993,s02341,justin williams,2018-09-26,4,(628)206-5320x7874,7
1994,s02342,amy davis,2016-12-05,3,(201)994-2314x05617,9
1995,s02343,mrs. kerri anderson dvm,2012-06-05,4,001-918-308-5763x043,13
1996,s02344,elizabeth stephenson,2017-03-12,2,(225)381-4278x82167,8
1997,s02345,erica johnson,2010-10-22,4,(500)421-6508x788,15
1998,s02346,lee smith,2013-08-28,1,307.315.7157,12
1999,s02347,edward phillips,2018-06-14,1,+1-659-272-9121x211,7
2000,s02348,molly ramirez,2016-11-19,3,850.511.8411x2233,9
2001,s02349,alexandra daniels,2011-07-08,2,437.909.4210x9329,14
2002,s02350,sandra francis,2014-06-09,4,+1-571-342-9539x96262,11
2003,s02352,john krause,2013-08-29,2,390-325-3663,12
2004,s02354,andrew norman,2007-03-18,5,+1-430-661-2904x92868,18
2005,s02355,jo hill,2010-03-12,2,219.918.8291,15
2006,s02356,matthew fritz,2008-11-16,3,743-923-5026,17
2007,s02357,amanda thomas,2006-05-18,4,9488850756,19
2008,s02358,jennifer gonzales,2012-08-23,2,633.209.3595,13
2009,s02359,shelley wade,2015-05-29,4,367-465-1087,10
2010,s02361,jennifer good,2013-04-05,1,342-321-5682x6236,12
2011,s02362,michaela byrd,2015-05-06,1,487-728-3035x3432,10
2012,s02363,lisa henry,2006-06-08,2,(874)753-4198,19
2013,s02364,david rice,2014-06-28,1,001-694-574-0760x68794,11
2014,s02366,james rios,2013-05-24,1,877.770.3003,12
2015,s02367,holly moran,2016-04-23,4,(716)241-9714x6037,9
2016,s02368,mark johnson,2018-08-13,5,001-326-316-8310x06591,7
2017,s02370,abigail robertson,2015-01-19,5,845-807-5927,10
2018,s02371,anita wagner,2011-11-24,2,(439)419-2789,14
2019,s02372,jordan melendez,2008-08-22,2,290.625.8273,17
2020,s02373,david brown,2008-11-22,1,(225)233-2850x96972,17
2021,s02374,dr. tommy hood md,2008-07-16,1,772.804.0537x747,17
2022,s02375,patricia fowler,2013-10-25,1,(404)502-5572x65853,12
2023,s02376,andre williams,2010-08-18,4,001-869-861-7807x61129,15
2024,s02377,andrew roberts,2018-06-22,2,(591)342-7253x95601,7
2025,s02378,bryce robinson,2009-01-27,1,001-932-918-6180x7596,16
2026,s02380,thomas beck,2013-11-29,5,+1-202-319-1328x7371,12
2027,s02381,todd castaneda,2017-08-24,3,865.764.0064x737,8
2028,s02382,chase jackson,2016-02-21,3,455.868.5160,9
2029,s02384,david jennings,2014-01-25,2,(970)428-0341,11
2030,s02385,taylor anderson,2008-07-27,4,615.567.7814x0975,17
2031,s02386,vanessa diaz,2015-10-27,5,(314)952-1223x852,10
2032,s02387,shelly turner,2015-04-28,2,+1-892-904-2605x9533,10
2033,s02388,christopher alvarez,2018-08-13,2,484.622.9343x430,7
2034,s02390,derek rhodes,2007-08-27,4,351.248.4827,18
2035,s02392,casey lester,2012-06-13,4,(807)409-2780x442,13
2036,s02393,patricia campbell,2010-05-18,3,524.617.1243,15
2037,s02395,ronnie crawford,2012-08-27,3,(563)602-3785,13
2038,s02396,wanda white,2013-08-02,5,9675912306,12
2039,s02398,lisa gomez,2009-07-26,4,+1-700-851-0144x25871,16
2040,s02399,michelle smith,2010-03-27,2,+1-313-219-9251,15
2041,s02400,stacey harmon,2017-04-06,2,+1-508-575-9607x150,8
2042,s02401,maria clarke,2015-09-28,4,908.911.1030,10
2043,s02402,christopher beltran ii,2007-01-11,5,449-309-7896x77299,18
2044,s02403,marcus tyler,2015-09-30,4,4658076436,10
2045,s02404,jacob avery,2011-05-03,5,+1-603-661-8022x7693,14
2046,s02405,tanner adams,2016-02-05,5,001-750-762-8500x2522,9
2047,s02407,brandon palmer,2017-08-09,4,(285)507-9214x3366,8
